I, [2020-02-19T10:58:08.405050 #10073]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2020-02-19T10:58:08.405338 #10073] ERROR -- Kitchen: ------Exception-------
E, [2020-02-19T10:58:08.405370 #10073] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-02-19T10:58:08.405386 #10073] ERROR -- Kitchen: Message: Kitchen YAML file /home/centos/curso-ansible-devops-diciembre/roles/httpd/tasks/.kitchen.yml does not exist.
E, [2020-02-19T10:58:08.405400 #10073] ERROR -- Kitchen: ----------------------
E, [2020-02-19T10:58:08.405413 #10073] ERROR -- Kitchen: ------Backtrace-------
E, [2020-02-19T10:58:08.405426 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-02-19T10:58:08.405441 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2020-02-19T10:58:08.405454 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2020-02-19T10:58:08.405465 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2020-02-19T10:58:08.405477 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2020-02-19T10:58:08.405490 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2020-02-19T10:58:08.405502 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-02-19T10:58:08.405518 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-02-19T10:58:08.405530 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-02-19T10:58:08.405542 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2020-02-19T10:58:08.405555 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2020-02-19T10:58:08.405567 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2020-02-19T10:58:08.405579 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2020-02-19T10:58:08.405590 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2020-02-19T10:58:08.405638 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-02-19T10:58:08.405653 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2020-02-19T10:58:08.405665 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2020-02-19T10:58:08.405681 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2020-02-19T10:58:08.405693 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-02-19T10:58:08.405705 #10073] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2020-02-19T10:58:08.405717 #10073] ERROR -- Kitchen: /bin/kitchen:250:in `load'
E, [2020-02-19T10:58:08.405728 #10073] ERROR -- Kitchen: /bin/kitchen:250:in `<main>'
E, [2020-02-19T10:58:08.405740 #10073] ERROR -- Kitchen: ----End Backtrace-----
